,(Intercept),StudioSony,StudioLions,StudioFox,StudioBV,StudioPar.,StudioUni.,StudioNL,Tomato,ComicMarvel,Budget,ComicMarvel:Budget
4,1,0,0,0,0,0,0,0,71,0,35,0
5,1,0,0,0,0,0,0,0,12,0,125,0
6,1,0,0,0,0,0,0,0,85,0,150,0
7,1,0,0,0,0,0,0,0,44,0,100,0
8,1,0,0,0,0,0,0,0,77,0,80,0
9,1,0,0,0,0,0,0,0,29,0,250,0
17,1,0,0,0,0,0,0,0,10,0,100,0
27,1,0,0,0,0,0,0,0,25,0,200,0
35,1,0,0,0,0,0,0,0,56,0,225,0
39,1,0,0,0,0,0,0,0,26,0,175,0
41,1,0,0,0,0,0,0,0,94,0,55,0
42,1,0,0,0,0,0,0,0,83,0,54,0
43,1,0,0,0,0,0,0,0,23,0,39,0
44,1,0,0,0,0,0,0,0,11,0,17,0
45,1,0,0,0,0,0,0,0,76,0,232,0
48,1,0,0,0,0,0,0,0,94,0,185,0
49,1,0,0,0,0,0,0,0,87,0,275,0
57,1,0,0,0,0,0,0,0,64,0,138,0
40,1,1,0,0,0,0,0,0,8,0,35,0
50,1,1,0,0,0,0,0,0,44,0,110,0
25,1,1,0,0,0,0,0,0,26,1,120,120
26,1,1,0,0,0,0,0,0,14,1,57,57
36,1,1,0,0,0,0,0,0,90,1,139,139
37,1,1,0,0,0,0,0,0,94,1,200,200
38,1,1,0,0,0,0,0,0,63,1,258,258
46,1,1,0,0,0,0,0,0,74,1,220,220
47,1,1,0,0,0,0,0,0,53,1,200,200
53,1,0,1,0,0,0,0,0,14,0,60,0
33,1,0,1,0,0,0,0,0,76,1,28,28
52,1,0,1,0,0,0,0,0,30,1,33,33
18,1,0,0,1,0,0,0,0,44,1,80,80
19,1,0,0,1,0,0,0,0,84,1,58,58
21,1,0,0,1,0,0,0,0,10,1,65,65
22,1,0,0,1,0,0,0,0,27,1,87.5,87.5
23,1,0,0,1,0,0,0,0,9,1,120,120
24,1,0,0,1,0,0,0,0,36,1,120,120
54,1,0,0,1,0,0,0,0,70,1,115,115
58,1,0,0,1,0,0,0,0,82,1,75,75
59,1,0,0,1,0,0,0,0,37,1,150,150
60,1,0,0,1,0,0,0,0,48,1,178,178
61,1,0,0,1,0,0,0,0,91,1,200,200
62,1,0,0,1,0,0,0,0,87,1,160,160
63,1,0,0,1,0,0,0,0,57,1,210,210
64,1,0,0,1,0,0,0,0,88,1,125,125
1,1,0,0,0,1,0,0,0,80,1,130,130
2,1,0,0,0,1,0,0,0,93,1,225,225
3,1,0,0,0,1,0,0,0,75,1,330.6,330.6
10,1,0,0,0,1,0,0,0,89,1,165,165
14,1,0,0,0,1,0,0,0,89,1,250,250
16,1,0,0,0,1,0,0,0,89,1,170,170
20,1,0,0,0,1,0,0,0,91,1,165,165
28,1,0,0,0,1,0,0,0,91,1,170,170
32,1,0,0,0,1,0,0,0,77,1,200,200
56,1,0,0,0,1,0,0,0,66,1,150,150
15,1,0,0,0,0,1,0,0,79,1,140,140
30,1,0,0,0,0,1,0,0,93,1,186,186
31,1,0,0,0,0,1,0,0,73,1,170,170
55,1,0,0,0,0,1,0,0,77,1,150,150
29,1,0,0,0,0,0,1,0,62,1,137,137
34,1,0,0,0,0,0,1,0,30,1,28,28
51,1,0,0,0,0,0,1,0,66,1,137.5,137.5
11,1,0,0,0,0,0,0,1,55,1,45,45
12,1,0,0,0,0,0,0,1,58,1,54,54
13,1,0,0,0,0,0,0,1,26,1,65,65
