,(Intercept),StudioSony,StudioLions,StudioFox,StudioBV,StudioPar.,StudioUni.,StudioNL,ComicMarvel,Budget,Tomato,ComicMarvel:Budget
1,1,0,0,0,1,0,0,0,1,130,80,130
2,1,0,0,0,1,0,0,0,1,225,93,225
3,1,0,0,0,1,0,0,0,1,330.6,75,330.6
4,1,0,0,0,0,0,0,0,0,35,71,0
5,1,0,0,0,0,0,0,0,0,125,12,0
6,1,0,0,0,0,0,0,0,0,150,85,0
7,1,0,0,0,0,0,0,0,0,100,44,0
8,1,0,0,0,0,0,0,0,0,80,77,0
9,1,0,0,0,0,0,0,0,0,250,29,0
10,1,0,0,0,1,0,0,0,1,165,89,165
11,1,0,0,0,0,0,0,1,1,45,55,45
12,1,0,0,0,0,0,0,1,1,54,58,54
13,1,0,0,0,0,0,0,1,1,65,26,65
14,1,0,0,0,1,0,0,0,1,250,89,250
15,1,0,0,0,0,1,0,0,1,140,79,140
16,1,0,0,0,1,0,0,0,1,170,89,170
17,1,0,0,0,0,0,0,0,0,100,10,0
18,1,0,0,1,0,0,0,0,1,80,44,80
19,1,0,0,1,0,0,0,0,1,58,84,58
20,1,0,0,0,1,0,0,0,1,165,91,165
21,1,0,0,1,0,0,0,0,1,65,10,65
22,1,0,0,1,0,0,0,0,1,87.5,27,87.5
23,1,0,0,1,0,0,0,0,1,120,9,120
24,1,0,0,1,0,0,0,0,1,120,36,120
25,1,1,0,0,0,0,0,0,1,120,26,120
26,1,1,0,0,0,0,0,0,1,57,14,57
27,1,0,0,0,0,0,0,0,0,200,25,0
28,1,0,0,0,1,0,0,0,1,170,91,170
29,1,0,0,0,0,0,1,0,1,137,62,137
30,1,0,0,0,0,1,0,0,1,186,93,186
31,1,0,0,0,0,1,0,0,1,170,73,170
32,1,0,0,0,1,0,0,0,1,200,77,200
33,1,0,1,0,0,0,0,0,1,28,76,28
34,1,0,0,0,0,0,1,0,1,28,30,28
35,1,0,0,0,0,0,0,0,0,225,56,0
36,1,1,0,0,0,0,0,0,1,139,90,139
37,1,1,0,0,0,0,0,0,1,200,94,200
38,1,1,0,0,0,0,0,0,1,258,63,258
39,1,0,0,0,0,0,0,0,0,175,26,0
40,1,1,0,0,0,0,0,0,0,35,8,0
41,1,0,0,0,0,0,0,0,0,55,94,0
42,1,0,0,0,0,0,0,0,0,54,83,0
43,1,0,0,0,0,0,0,0,0,39,23,0
44,1,0,0,0,0,0,0,0,0,17,11,0
45,1,0,0,0,0,0,0,0,0,232,76,0
46,1,1,0,0,0,0,0,0,1,220,74,220
47,1,1,0,0,0,0,0,0,1,200,53,200
48,1,0,0,0,0,0,0,0,0,185,94,0
49,1,0,0,0,0,0,0,0,0,275,87,0
50,1,1,0,0,0,0,0,0,0,110,44,0
51,1,0,0,0,0,0,1,0,1,137.5,66,137.5
52,1,0,1,0,0,0,0,0,1,33,30,33
53,1,0,1,0,0,0,0,0,0,60,14,0
54,1,0,0,1,0,0,0,0,1,115,70,115
55,1,0,0,0,0,1,0,0,1,150,77,150
56,1,0,0,0,1,0,0,0,1,150,66,150
57,1,0,0,0,0,0,0,0,0,138,64,0
58,1,0,0,1,0,0,0,0,1,75,82,75
59,1,0,0,1,0,0,0,0,1,150,37,150
60,1,0,0,1,0,0,0,0,1,178,48,178
61,1,0,0,1,0,0,0,0,1,200,91,200
62,1,0,0,1,0,0,0,0,1,160,87,160
63,1,0,0,1,0,0,0,0,1,210,57,210
64,1,0,0,1,0,0,0,0,1,125,88,125
